model_group,dataset_version,base_sample_id,condition,comparison,feature_variant,baseline_variant,feature_accuracy,baseline_accuracy,difference,direction
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,audio_boundary,shape_only_minus_full,shape_only,full,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,audio_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,low_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,low_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,temporal_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,visual_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,visual_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,audio_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,6,audio_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,low_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,low_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,temporal_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,visual_boundary,shape_only_minus_full,shape_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,visual_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,audio_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,audio_boundary,color_only_minus_shape_only,color_only,shape_only,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,7,audio_boundary,color_only_minus_full,color_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,low_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,low_boundary,color_only_minus_shape_only,color_only,shape_only,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,low_boundary,color_only_minus_full,color_only,full,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,temporal_boundary,color_only_minus_full,color_only,full,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,visual_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,visual_boundary,color_only_minus_shape_only,color_only,shape_only,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,visual_boundary,color_only_minus_full,color_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,audio_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,audio_boundary,color_only_minus_shape_only,color_only,shape_only,0.0,1.0,-1.0,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,8,audio_boundary,color_only_minus_full,color_only,full,0.0,1.0,-1.0,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,low_boundary,shape_only_minus_full,shape_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,low_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,temporal_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,visual_boundary,shape_only_minus_full,shape_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,visual_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,audio_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,9,audio_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,low_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,low_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,temporal_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,visual_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,visual_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,audio_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,10,audio_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,low_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,low_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,temporal_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,visual_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,visual_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,audio_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,11,audio_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,low_boundary,shape_only_minus_full,shape_only,full,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,low_boundary,color_only_minus_shape_only,color_only,shape_only,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,low_boundary,color_only_minus_full,color_only,full,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,temporal_boundary,shape_only_minus_full,shape_only,full,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,temporal_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,visual_boundary,shape_only_minus_full,shape_only,full,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,visual_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,audio_boundary,shape_only_minus_full,shape_only,full,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,audio_boundary,color_only_minus_shape_only,color_only,shape_only,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,12,audio_boundary,color_only_minus_full,color_only,full,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,low_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,low_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,temporal_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,visual_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,visual_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,audio_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,13,audio_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,low_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,low_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,temporal_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,visual_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,visual_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,audio_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,14,audio_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,low_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,low_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,temporal_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,visual_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,visual_boundary,color_only_minus_shape_only,color_only,shape_only,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,visual_boundary,color_only_minus_full,color_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,audio_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,15,audio_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,16,low_boundary,shape_only_minus_full,shape_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,16,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
